Tipo_Ataque,Tasa_Ocurrencia (%),Vector_Infeccion,Nivel_Impacto (1-10),Tiempo_Recuperacion (horas),Costo_Recuperacion (USD)
Adware,54,Descarga de archivos,4,10,1569
Gusano (Worm),21,Vulnerabilidad de red,7,85,8091
Adware,82,Sitio web comprometido,3,2,423
Botnet,33,Descarga de archivos,5,117,2476
Gusano (Worm),64,USB,8,32,15428
Phishing,72,Ingeniería social,6,59,5918
Ataque DDoS,18,Vulnerabilidad de red,6,142,23787
Ataque DDoS,26,Sitio web comprometido,5,33,1251
Adware,39,Descarga de archivos,2,19,1304
Phishing,62,Ingeniería social,7,18,2538
Adware,83,Descarga de archivos,2,18,133
Virus,84,Correo electrónico,6,43,235
Spyware,32,Correo electrónico,6,14,1639
Ataque DDoS,18,Sitio web comprometido,5,123,1836
Phishing,75,Correo electrónico,6,58,14086
Botnet,24,Correo electrónico,6,85,11244
Ransomware,12,Vulnerabilidad de red,10,281,18451
Troyano,51,Descarga de archivos,6,33,1322
Ataque DDoS,39,Vulnerabilidad de red,6,145,16092
Ransomware,54,Sitio web comprometido,7,478,42728
Virus,53,Sitio web comprometido,5,48,7908
Ransomware,37,Correo electrónico,7,496,49752
Adware,65,Sitio web comprometido,1,19,378
Rootkit,15,Vulnerabilidad de red,7,144,18709
Phishing,60,Ingeniería social,6,57,12663
Phishing,57,Correo electrónico,6,45,14558
Virus,76,USB,3,71,5159
Virus,49,Sitio web comprometido,3,28,4069
Ataque DDoS,50,Vulnerabilidad de red,8,171,22313
Spyware,23,USB,6,28,1454
Virus,65,Descarga de archivos,5,73,535
Ransomware,35,Correo electrónico,7,264,13341
Adware,70,Correo electrónico,3,15,659
Ataque DDoS,48,Ingeniería social,7,124,9598
Phishing,51,Correo electrónico,6,43,1529
Ataque DDoS,33,Vulnerabilidad de red,7,107,9990
Troyano,67,Descarga de archivos,9,39,6469
Adware,77,Descarga de archivos,4,8,674
Rootkit,21,Vulnerabilidad de red,10,31,9766
Virus,79,Descarga de archivos,6,51,2053
Phishing,99,Correo electrónico,8,9,2835
Ataque DDoS,49,Sitio web comprometido,7,151,20499
Phishing,75,Ingeniería social,8,7,3712
Troyano,31,Descarga de archivos,5,11,1446
Troyano,38,Correo electrónico,9,86,11752
Adware,66,Sitio web comprometido,3,3,460
Botnet,48,Descarga de archivos,5,184,21897
Gusano (Worm),42,Vulnerabilidad de red,8,95,8185
Ataque DDoS,51,Vulnerabilidad de red,9,54,1750
Gusano (Worm),61,Sitio web comprometido,9,45,4185
Phishing,99,Correo electrónico,6,30,669
Ransomware,17,Correo electrónico,10,157,29889
Ransomware,51,Sitio web comprometido,8,416,22719
Ransomware,16,Sitio web comprometido,7,301,25460
Phishing,64,Correo electrónico,6,80,11004
Ransomware,16,Correo electrónico,7,156,38346
Ransomware,51,Sitio web comprometido,8,408,22216
Botnet,18,Vulnerabilidad de red,5,110,13853
Ransomware,44,Sitio web comprometido,9,131,24217
Phishing,77,Sitio web comprometido,4,82,5352
Phishing,87,Correo electrónico,6,25,3686
Virus,71,Correo electrónico,5,68,998
Ataque DDoS,32,Vulnerabilidad de red,6,118,24528
Adware,34,Descarga de archivos,1,16,799
Botnet,35,Correo electrónico,8,126,17237
Phishing,64,Ingeniería social,4,43,1588
Adware,88,Correo electrónico,1,20,388
Phishing,61,Ingeniería social,8,28,10811
Spyware,54,Descarga de archivos,6,37,2951
Troyano,61,Descarga de archivos,6,85,690
Virus,60,Descarga de archivos,7,39,6110
Ransomware,30,Sitio web comprometido,7,352,48185
Adware,39,Sitio web comprometido,2,2,915
Rootkit,29,Vulnerabilidad de red,10,87,16040
Rootkit,28,Vulnerabilidad de red,8,274,27629
Adware,51,Sitio web comprometido,2,7,723
Spyware,42,Sitio web comprometido,5,13,5710
Gusano (Worm),24,Correo electrónico,6,10,7667
Ataque DDoS,51,Ingeniería social,9,50,18109
Ransomware,31,Correo electrónico,10,326,31271
Virus,48,USB,3,42,2289
Ataque DDoS,39,Ingeniería social,5,43,24576
Ransomware,25,Vulnerabilidad de red,10,432,40528
Spyware,36,USB,6,31,3901
Phishing,66,Correo electrónico,5,27,10303
Virus,58,Descarga de archivos,6,23,4340
Phishing,49,Sitio web comprometido,8,49,1747
Ataque DDoS,40,Vulnerabilidad de red,9,69,12558
Phishing,94,Correo electrónico,8,41,3490
Phishing,63,Ingeniería social,7,62,6805
Phishing,48,Correo electrónico,5,68,13004
Phishing,82,Correo electrónico,4,79,761
Gusano (Worm),64,Vulnerabilidad de red,9,95,3296
Adware,79,Descarga de archivos,4,4,1559
Ataque DDoS,45,Sitio web comprometido,10,150,17519
Ataque DDoS,40,Vulnerabilidad de red,10,81,2378
Gusano (Worm),23,Vulnerabilidad de red,8,72,9967
Rootkit,32,Vulnerabilidad de red,8,296,3487
Phishing,78,Correo electrónico,5,56,12242
Troyano,70,Descarga de archivos,9,69,11705
Botnet,24,Vulnerabilidad de red,7,117,8161
Rootkit,16,Vulnerabilidad de red,8,150,37649
Ataque DDoS,52,Vulnerabilidad de red,8,144,11572
Spyware,35,USB,5,26,3455
Phishing,48,Sitio web comprometido,7,29,9072
Troyano,51,Correo electrónico,5,79,2869
Troyano,44,Descarga de archivos,7,28,10434
Rootkit,12,Vulnerabilidad de red,10,247,28435
Adware,73,Sitio web comprometido,4,19,774
Ataque DDoS,53,Vulnerabilidad de red,8,26,29517
Phishing,78,Correo electrónico,6,50,3270
Phishing,51,Ingeniería social,5,88,3933
Adware,82,Descarga de archivos,4,19,1348
Ataque DDoS,22,Vulnerabilidad de red,5,142,21189
Phishing,58,Ingeniería social,4,55,2363
Gusano (Worm),58,USB,9,14,14855
Ataque DDoS,36,Ingeniería social,7,26,14650
Phishing,79,Correo electrónico,8,90,11409
Phishing,77,Correo electrónico,7,70,13097
Virus,45,Descarga de archivos,3,51,6504
Phishing,100,Correo electrónico,5,69,7968
Adware,88,Sitio web comprometido,2,12,470
Adware,67,Descarga de archivos,1,14,374
Troyano,66,Correo electrónico,8,116,12798
Gusano (Worm),44,Vulnerabilidad de red,9,26,11925
Adware,49,Correo electrónico,4,12,887
Ransomware,47,Correo electrónico,7,436,29800
Spyware,46,Descarga de archivos,5,39,2204
Ataque DDoS,43,Vulnerabilidad de red,10,133,26506
Botnet,49,Vulnerabilidad de red,8,124,24695
Adware,55,Descarga de archivos,4,17,148
Troyano,40,Descarga de archivos,9,55,5511
Ataque DDoS,31,Vulnerabilidad de red,5,180,4418
Virus,65,Descarga de archivos,7,8,6139
Gusano (Worm),30,USB,6,120,4224
Phishing,93,Sitio web comprometido,8,97,7800
Virus,54,Descarga de archivos,6,11,5050
Rootkit,5,Descarga de archivos,7,114,15808
Adware,55,Descarga de archivos,4,16,1932
Ataque DDoS,39,Ingeniería social,5,144,4964
Troyano,58,Correo electrónico,6,91,8029
Ransomware,53,Sitio web comprometido,7,343,15960
Ransomware,40,Sitio web comprometido,9,58,47395
Gusano (Worm),65,USB,7,143,756
Gusano (Worm),23,Sitio web comprometido,7,80,7367
Adware,31,Sitio web comprometido,1,19,1912
Spyware,44,Descarga de archivos,3,39,2601
Rootkit,23,Vulnerabilidad de red,9,97,23492
Ransomware,32,Correo electrónico,8,49,10543
Adware,73,Descarga de archivos,1,14,1295
Adware,57,Sitio web comprometido,2,7,1609
Adware,60,Descarga de archivos,1,8,1059
Ransomware,51,Vulnerabilidad de red,10,315,27406
Botnet,36,Vulnerabilidad de red,5,34,10653
Troyano,46,Sitio web comprometido,9,73,10878
Virus,31,USB,6,54,4085
Phishing,92,Ingeniería social,4,41,9419
Phishing,86,Correo electrónico,7,71,9816
Adware,47,Sitio web comprometido,3,9,1892
Troyano,47,Sitio web comprometido,7,79,11833
Phishing,77,Correo electrónico,8,99,14978
Botnet,17,Descarga de archivos,6,129,23715
Adware,40,Sitio web comprometido,4,16,367
Rootkit,29,USB,7,52,19860
Virus,31,Descarga de archivos,6,57,6769
Ataque DDoS,23,Ingeniería social,7,143,19374
Virus,42,Descarga de archivos,4,43,525
Ransomware,43,Sitio web comprometido,8,202,9774
Phishing,59,Ingeniería social,5,38,4015
Phishing,79,Correo electrónico,6,34,5463
Ransomware,12,Sitio web comprometido,10,428,38826
Ataque DDoS,53,Vulnerabilidad de red,7,20,2526
Gusano (Worm),27,Correo electrónico,6,114,14067
Ataque DDoS,15,Vulnerabilidad de red,10,148,15744
Adware,76,Descarga de archivos,4,3,475
Phishing,97,Correo electrónico,5,56,13540
Spyware,29,Sitio web comprometido,4,53,1207
Botnet,33,Vulnerabilidad de red,9,63,4166
Botnet,24,Vulnerabilidad de red,7,35,8428
Ransomware,18,Sitio web comprometido,10,118,15633
Gusano (Worm),59,USB,8,36,19742
Rootkit,26,USB,9,145,6288
Gusano (Worm),38,Correo electrónico,6,103,13073
Ataque DDoS,28,Vulnerabilidad de red,6,86,1328
Ransomware,12,Descarga de archivos,8,248,8047
Rootkit,31,Sitio web comprometido,9,275,33745
Virus,74,Correo electrónico,7,62,2004
Ransomware,49,Sitio web comprometido,10,349,34023
Troyano,66,Descarga de archivos,5,106,1416
Spyware,28,Correo electrónico,6,27,4398
Ataque DDoS,29,Ingeniería social,9,135,18464
Troyano,28,Sitio web comprometido,9,64,4622
Gusano (Worm),36,Vulnerabilidad de red,9,33,4573
Adware,40,Descarga de archivos,2,11,1241
Botnet,39,Sitio web comprometido,9,123,18230
Adware,47,Sitio web comprometido,4,19,202
Botnet,15,Vulnerabilidad de red,7,128,22490
Adware,79,Sitio web comprometido,1,1,107
Adware,32,Descarga de archivos,2,7,876
Gusano (Worm),37,Vulnerabilidad de red,8,28,10275
Ransomware,18,Descarga de archivos,10,86,8087
Spyware,22,Sitio web comprometido,4,37,808
Ransomware,42,Descarga de archivos,7,148,6487
Phishing,69,Correo electrónico,6,6,11779
Adware,47,Descarga de archivos,2,6,1627
Ataque DDoS,51,Ingeniería social,8,21,4148
Gusano (Worm),58,Correo electrónico,6,23,14684
Ransomware,43,Vulnerabilidad de red,7,192,25825
Adware,46,Descarga de archivos,1,6,751
Adware,71,Descarga de archivos,2,6,1659
Virus,73,Sitio web comprometido,4,76,370
Virus,37,Correo electrónico,4,41,1108
Adware,49,Correo electrónico,2,14,1961
Virus,62,Correo electrónico,3,75,3617
Rootkit,32,Descarga de archivos,8,73,4283
Adware,67,Sitio web comprometido,4,6,889
Troyano,35,Correo electrónico,9,15,13494
Troyano,64,Ingeniería social,6,106,17247
Virus,33,Sitio web comprometido,5,78,2040
Rootkit,27,Vulnerabilidad de red,8,280,30172
Virus,35,USB,7,33,3552
Ransomware,14,Correo electrónico,7,311,32112
Ransomware,33,Correo electrónico,10,478,22750
Ransomware,50,Sitio web comprometido,9,485,28261
Spyware,58,Sitio web comprometido,7,4,2204
Gusano (Worm),26,Vulnerabilidad de red,5,36,10974
Phishing,70,Correo electrónico,8,61,3346
Virus,78,Descarga de archivos,3,15,2300
Gusano (Worm),50,Correo electrónico,9,48,1489
Phishing,84,Ingeniería social,6,36,8588
Ransomware,55,Correo electrónico,8,382,49292
Ransomware,21,Sitio web comprometido,9,120,46104
Gusano (Worm),56,Correo electrónico,8,72,9536
Gusano (Worm),42,Vulnerabilidad de red,7,112,3994
Virus,69,USB,7,5,5444
Gusano (Worm),26,USB,6,146,9103
Adware,34,Descarga de archivos,2,1,388
Adware,47,Sitio web comprometido,4,16,1738
Spyware,35,Sitio web comprometido,4,60,3554
Ransomware,34,Vulnerabilidad de red,8,67,29345
Spyware,57,Sitio web comprometido,3,51,3354
Ransomware,48,Vulnerabilidad de red,8,75,39808
Botnet,30,Vulnerabilidad de red,5,125,1905
Troyano,59,Ingeniería social,6,80,15543
Adware,90,Sitio web comprometido,3,6,126
Ataque DDoS,19,Vulnerabilidad de red,8,42,1892
Ransomware,10,Sitio web comprometido,10,60,19242
Virus,31,Sitio web comprometido,3,5,7481
Virus,64,Descarga de archivos,7,9,4332
Botnet,47,Vulnerabilidad de red,5,22,9248
Adware,86,Descarga de archivos,3,5,1731
Botnet,27,Correo electrónico,7,163,18637
Ransomware,21,Vulnerabilidad de red,9,390,9102
Ransomware,13,Sitio web comprometido,10,288,43750
Spyware,43,Correo electrónico,3,15,1407
Ransomware,54,Vulnerabilidad de red,9,475,48671
Ransomware,44,Sitio web comprometido,7,455,40975
Troyano,62,Ingeniería social,6,92,9876
Ransomware,48,Correo electrónico,7,260,17113
Rootkit,11,Vulnerabilidad de red,8,174,4070
Ransomware,54,Correo electrónico,8,477,31917
Gusano (Worm),55,Vulnerabilidad de red,8,33,4641
Troyano,41,Descarga de archivos,5,104,6210
Gusano (Worm),48,USB,6,86,11370
Troyano,66,Descarga de archivos,6,29,11046
Spyware,36,Descarga de archivos,3,33,534
Rootkit,16,Vulnerabilidad de red,10,84,5750
Ataque DDoS,42,Sitio web comprometido,5,102,11613
Adware,64,Descarga de archivos,1,14,1070
Botnet,36,Vulnerabilidad de red,7,135,6109
Spyware,30,Sitio web comprometido,4,16,5046
Troyano,61,Sitio web comprometido,8,74,3626
Gusano (Worm),20,Correo electrónico,9,67,18192
Adware,31,Sitio web comprometido,4,6,1915
Adware,51,Descarga de archivos,1,20,1516
Troyano,33,Correo electrónico,6,60,8593
Troyano,39,Descarga de archivos,9,42,12884
Botnet,37,Sitio web comprometido,6,82,14712
Phishing,90,Correo electrónico,4,41,12305
Rootkit,22,Sitio web comprometido,7,254,8481
Ransomware,32,Correo electrónico,7,155,23102
Spyware,54,Sitio web comprometido,7,46,5627
Spyware,39,Sitio web comprometido,6,5,1323
Rootkit,28,USB,9,174,21490
Phishing,79,Correo electrónico,8,37,13656
Gusano (Worm),37,Vulnerabilidad de red,7,94,14205
Virus,63,Correo electrónico,3,30,7029
Spyware,37,Descarga de archivos,5,34,5919
Gusano (Worm),49,Sitio web comprometido,8,9,2853
Virus,57,USB,5,38,583
Troyano,54,Descarga de archivos,5,10,12852
Rootkit,30,USB,9,172,3066
Phishing,66,Correo electrónico,8,54,2171
Virus,76,Correo electrónico,3,56,4221
Troyano,43,Ingeniería social,6,116,7085
Gusano (Worm),22,Vulnerabilidad de red,7,97,8503
Adware,56,Descarga de archivos,3,15,1163
Gusano (Worm),22,Sitio web comprometido,5,27,3186
Troyano,65,Sitio web comprometido,6,104,13167
Ataque DDoS,40,Vulnerabilidad de red,8,178,9020
Virus,72,Correo electrónico,3,60,7822
Spyware,60,Sitio web comprometido,4,10,3988
Gusano (Worm),59,Vulnerabilidad de red,5,101,12507
Gusano (Worm),51,Correo electrónico,9,149,10130
Phishing,40,Correo electrónico,8,58,8002
Troyano,29,Ingeniería social,5,12,17019
Phishing,70,Correo electrónico,8,60,8417
Spyware,51,Correo electrónico,6,58,3613
Virus,59,Descarga de archivos,3,10,4357
Ataque DDoS,22,Vulnerabilidad de red,8,123,11609
Ransomware,15,Vulnerabilidad de red,10,384,42828
Spyware,32,Descarga de archivos,3,37,1018
Adware,81,Sitio web comprometido,4,20,1273
Ransomware,30,Correo electrónico,8,388,19441
Botnet,13,Correo electrónico,9,68,12665
Spyware,52,Correo electrónico,6,17,4587
Ransomware,35,Correo electrónico,7,376,40559
Rootkit,13,Descarga de archivos,9,139,29147
Ransomware,46,Correo electrónico,7,453,37005
Phishing,74,Ingeniería social,6,83,13602
Phishing,96,Sitio web comprometido,8,94,8886
Gusano (Worm),64,Vulnerabilidad de red,9,150,6659
Troyano,46,Descarga de archivos,6,27,9631
Spyware,39,Descarga de archivos,7,9,4713
Adware,70,Sitio web comprometido,4,7,843
Ataque DDoS,22,Sitio web comprometido,10,132,16898
Virus,46,Correo electrónico,3,8,4032
Phishing,86,Ingeniería social,7,94,5910
Spyware,46,Sitio web comprometido,6,55,2440
Troyano,65,Correo electrónico,6,44,12973
Virus,65,Descarga de archivos,3,43,4055
Ataque DDoS,31,Ingeniería social,10,29,1142
Gusano (Worm),50,Vulnerabilidad de red,5,113,3386
Rootkit,25,Sitio web comprometido,8,289,17420
Ataque DDoS,54,Ingeniería social,8,34,30258
Spyware,37,Sitio web comprometido,3,57,2197
Ataque DDoS,57,Vulnerabilidad de red,6,52,3884
Rootkit,25,USB,10,136,27596
Gusano (Worm),21,Sitio web comprometido,6,44,13551
Adware,52,Sitio web comprometido,1,14,1369
Phishing,61,Sitio web comprometido,6,67,12154
Rootkit,10,Vulnerabilidad de red,7,236,30605
Adware,45,Sitio web comprometido,1,15,483
Phishing,56,Sitio web comprometido,8,61,8677
Ransomware,35,Correo electrónico,8,255,13653
Rootkit,15,Sitio web comprometido,9,203,16940
Virus,74,Correo electrónico,4,74,6873
Adware,37,Descarga de archivos,2,10,1657
Phishing,42,Correo electrónico,8,85,1624
Ransomware,26,Vulnerabilidad de red,10,453,43856
Virus,43,Descarga de archivos,3,21,573
Ataque DDoS,23,Vulnerabilidad de red,6,114,16117
Adware,87,Descarga de archivos,4,11,1642
Ataque DDoS,17,Ingeniería social,6,148,20398
Gusano (Worm),61,Sitio web comprometido,7,126,15404
Rootkit,7,Descarga de archivos,9,206,31649
Phishing,87,Ingeniería social,8,33,13953
Phishing,57,Correo electrónico,7,10,8560
Ataque DDoS,18,Vulnerabilidad de red,10,28,18606
Gusano (Worm),39,Sitio web comprometido,6,79,3195
Spyware,42,Correo electrónico,7,59,3448
Ataque DDoS,47,Sitio web comprometido,5,117,28911
Gusano (Worm),50,Correo electrónico,8,19,14703
Virus,60,Sitio web comprometido,4,62,3824
Spyware,24,Sitio web comprometido,4,57,5582
Spyware,51,Sitio web comprometido,6,56,1534
Spyware,20,USB,3,47,5744
Adware,74,Sitio web comprometido,1,1,271
Gusano (Worm),20,Sitio web comprometido,7,64,7539
Gusano (Worm),25,Vulnerabilidad de red,8,80,9558
Ransomware,33,Sitio web comprometido,8,273,25631
Ataque DDoS,19,Sitio web comprometido,9,164,3592
Phishing,93,Correo electrónico,4,46,3278
Phishing,89,Correo electrónico,7,99,11739
Virus,71,Correo electrónico,3,64,3485
Rootkit,30,USB,7,94,33971
Adware,41,Sitio web comprometido,3,12,1656
Ataque DDoS,47,Vulnerabilidad de red,6,25,8225
Gusano (Worm),60,Correo electrónico,7,80,16505
Adware,57,Descarga de archivos,2,10,756
Gusano (Worm),53,Vulnerabilidad de red,8,128,9250
Adware,60,Sitio web comprometido,3,1,1764
Botnet,35,Vulnerabilidad de red,6,122,1092
Rootkit,13,Vulnerabilidad de red,10,97,21660
Gusano (Worm),50,Correo electrónico,5,42,6674
Adware,74,Descarga de archivos,2,15,1825
Virus,38,Descarga de archivos,4,43,463
Virus,41,Correo electrónico,7,11,4540
Botnet,23,Vulnerabilidad de red,6,102,24420
Botnet,25,Vulnerabilidad de red,5,193,5607
Ransomware,12,Sitio web comprometido,7,397,29084
Troyano,26,Sitio web comprometido,9,100,17430
Adware,53,Descarga de archivos,1,19,765
Virus,36,Sitio web comprometido,6,54,2074
Adware,70,Sitio web comprometido,3,8,739
Phishing,93,Correo electrónico,5,27,14611
Ransomware,45,Correo electrónico,7,422,8629
Virus,79,Correo electrónico,6,27,7758
Ataque DDoS,51,Sitio web comprometido,8,140,27577
Virus,48,USB,6,11,6890
Rootkit,14,USB,9,82,22422
Ransomware,35,Sitio web comprometido,7,288,26407
Ataque DDoS,51,Sitio web comprometido,8,43,5011
Virus,63,Sitio web comprometido,3,62,5085
Ransomware,32,Correo electrónico,8,81,36298
Ataque DDoS,57,Vulnerabilidad de red,8,27,4921
Troyano,44,Descarga de archivos,9,10,10486
Phishing,65,Correo electrónico,4,35,10926
Troyano,61,Descarga de archivos,5,83,17691
Gusano (Worm),59,Vulnerabilidad de red,7,62,8188
Ataque DDoS,41,Vulnerabilidad de red,10,159,10053
Phishing,98,Correo electrónico,5,14,529
Spyware,52,USB,6,45,5404
Adware,35,Sitio web comprometido,1,3,1124
Virus,55,USB,4,57,2331
Ataque DDoS,53,Ingeniería social,9,115,17731
Botnet,41,Vulnerabilidad de red,8,124,15066
Ransomware,32,Correo electrónico,7,380,10190
Troyano,52,Correo electrónico,5,105,13851
Troyano,51,Descarga de archivos,7,53,17117
Adware,55,Descarga de archivos,3,17,637
Adware,51,Correo electrónico,2,12,1056
Ransomware,55,Correo electrónico,8,217,39006
Ransomware,26,Correo electrónico,9,202,13108
Phishing,88,Correo electrónico,8,94,8848
Spyware,58,Correo electrónico,7,40,3123
Ransomware,48,Descarga de archivos,8,454,16811
Adware,80,Sitio web comprometido,4,17,555
Gusano (Worm),63,Correo electrónico,6,148,10190
Ataque DDoS,53,Ingeniería social,5,171,22871
Phishing,99,Ingeniería social,7,94,10780
Ransomware,23,Correo electrónico,10,258,17843
Gusano (Worm),59,Vulnerabilidad de red,5,58,5983
Phishing,56,Sitio web comprometido,6,53,669
Spyware,49,Descarga de archivos,5,13,4716
Virus,62,Descarga de archivos,6,70,1170
Spyware,20,Sitio web comprometido,4,28,4959
Virus,36,USB,4,11,4158
Virus,38,Descarga de archivos,7,42,4080
Ransomware,46,Vulnerabilidad de red,8,145,11510
Adware,86,Descarga de archivos,2,5,1834
Ransomware,24,Descarga de archivos,7,238,21395
Ransomware,50,Vulnerabilidad de red,8,63,45372
Virus,64,USB,4,2,7737
Gusano (Worm),45,Correo electrónico,9,64,7783
Rootkit,23,Descarga de archivos,10,277,9779
Spyware,42,Correo electrónico,6,54,4149
Virus,76,Correo electrónico,5,6,6575
Gusano (Worm),27,Vulnerabilidad de red,7,52,5502
Botnet,40,Correo electrónico,6,85,22488
Rootkit,19,Vulnerabilidad de red,10,252,24970
Phishing,42,Ingeniería social,7,48,11195
Gusano (Worm),32,Vulnerabilidad de red,6,84,4865
Botnet,16,Descarga de archivos,7,140,22613
Rootkit,25,Sitio web comprometido,8,296,11078
Botnet,46,Descarga de archivos,5,191,13612
Phishing,87,Correo electrónico,8,53,14230
Ransomware,19,Vulnerabilidad de red,8,367,27111
Botnet,20,Correo electrónico,7,131,10605
Troyano,43,Correo electrónico,6,83,13986
Phishing,65,Correo electrónico,4,77,747
Phishing,98,Ingeniería social,7,15,7871
Adware,82,Descarga de archivos,4,10,1628
Phishing,69,Correo electrónico,5,50,2975
Ransomware,31,Descarga de archivos,7,264,22847
Phishing,79,Ingeniería social,4,10,6550
Gusano (Worm),62,USB,5,66,6387
Troyano,66,Sitio web comprometido,8,97,14123
Gusano (Worm),33,Vulnerabilidad de red,8,84,8192
Rootkit,17,Vulnerabilidad de red,8,186,26002
Phishing,40,Correo electrónico,8,88,12196
Adware,84,Sitio web comprometido,3,4,1708
Ransomware,47,Correo electrónico,7,249,7544
Ransomware,27,Descarga de archivos,10,261,33941
Troyano,69,Ingeniería social,5,63,1096
Virus,67,USB,6,48,768
Ataque DDoS,15,Vulnerabilidad de red,8,60,15594
Phishing,93,Correo electrónico,8,66,4080
Ataque DDoS,31,Ingeniería social,7,171,9982
Phishing,100,Ingeniería social,7,10,5105
Ataque DDoS,51,Vulnerabilidad de red,9,13,15045
Ransomware,44,Correo electrónico,9,121,14758
Adware,33,Sitio web comprometido,1,18,1083
Virus,50,Descarga de archivos,4,7,1682
Ransomware,38,Correo electrónico,10,361,17366
Spyware,22,Descarga de archivos,7,57,3766
Ataque DDoS,57,Ingeniería social,9,32,3649
Spyware,41,Descarga de archivos,4,16,3552
Gusano (Worm),64,Vulnerabilidad de red,9,43,2144
Phishing,64,Correo electrónico,7,44,7731
Ataque DDoS,23,Vulnerabilidad de red,6,25,28880
Virus,83,Correo electrónico,6,3,6148
Botnet,35,Vulnerabilidad de red,6,52,22297
Virus,34,Sitio web comprometido,5,63,5129
Ransomware,30,Correo electrónico,8,75,12373
Botnet,36,Correo electrónico,9,32,2114
Botnet,14,Correo electrónico,6,53,4150
Virus,55,Descarga de archivos,4,48,5625
Ataque DDoS,34,Vulnerabilidad de red,8,23,7711
Gusano (Worm),46,USB,7,87,15122
Ransomware,45,Descarga de archivos,8,114,27078
Ataque DDoS,57,Vulnerabilidad de red,7,140,19948
Botnet,48,Descarga de archivos,9,139,23637
Troyano,49,Sitio web comprometido,6,75,9825
Botnet,14,Correo electrónico,8,83,8737
Gusano (Worm),20,Vulnerabilidad de red,8,8,11669
Adware,88,Descarga de archivos,3,20,1643
Virus,42,Correo electrónico,5,20,7344
Ataque DDoS,47,Vulnerabilidad de red,8,96,4411
Adware,68,Descarga de archivos,3,19,1703
Virus,78,Descarga de archivos,4,80,7326
Spyware,39,Correo electrónico,4,5,967
Ransomware,34,Correo electrónico,10,139,24267
Ataque DDoS,46,Vulnerabilidad de red,8,10,4314
Rootkit,35,Vulnerabilidad de red,10,57,22926
Ransomware,46,Correo electrónico,8,435,27620
Ataque DDoS,20,Vulnerabilidad de red,6,180,2115
Ataque DDoS,51,Vulnerabilidad de red,6,75,3908
Virus,85,USB,4,67,4934
Spyware,39,Correo electrónico,5,32,5548
Phishing,56,Sitio web comprometido,8,5,5240
Rootkit,20,Descarga de archivos,7,268,2551
Spyware,30,Descarga de archivos,5,20,4710
Adware,40,Sitio web comprometido,2,3,1951
Ataque DDoS,20,Ingeniería social,8,67,10819
Gusano (Worm),40,Vulnerabilidad de red,8,14,1646
Troyano,51,Sitio web comprometido,5,104,5908
Ransomware,41,Correo electrónico,7,435,44817
Phishing,47,Correo electrónico,4,28,12252
Gusano (Worm),45,Correo electrónico,8,123,12577
Troyano,33,Correo electrónico,6,110,11591
Phishing,56,Correo electrónico,7,6,13201
Adware,30,Sitio web comprometido,4,9,1668
Phishing,79,Correo electrónico,8,66,11101
Ransomware,33,Correo electrónico,9,320,25351
Ataque DDoS,44,Ingeniería social,6,105,8616
Adware,56,Sitio web comprometido,3,3,1349
Rootkit,31,USB,7,61,12109
Gusano (Worm),42,Vulnerabilidad de red,5,63,3391
Ataque DDoS,45,Vulnerabilidad de red,10,84,21532
Botnet,46,Vulnerabilidad de red,9,51,19251
Spyware,30,Sitio web comprometido,4,46,2316
Ataque DDoS,43,Vulnerabilidad de red,10,91,9200
Ransomware,35,Correo electrónico,7,154,30442
Spyware,24,Sitio web comprometido,4,46,4358
Botnet,13,Vulnerabilidad de red,8,191,20184
Ransomware,22,Correo electrónico,10,367,32958
Ransomware,16,Sitio web comprometido,10,482,34644
Gusano (Worm),45,Vulnerabilidad de red,7,36,11943
Ransomware,15,Vulnerabilidad de red,9,331,35392
Adware,83,Sitio web comprometido,4,14,216
Phishing,71,Correo electrónico,8,93,10871
Spyware,30,Descarga de archivos,7,22,1693
Botnet,16,Correo electrónico,6,180,20677
Phishing,62,Sitio web comprometido,8,85,11843
Ransomware,14,Correo electrónico,7,193,47405
Botnet,44,Vulnerabilidad de red,5,76,1139
Rootkit,22,Descarga de archivos,9,197,19075
Adware,44,Sitio web comprometido,4,10,1475
Adware,31,Descarga de archivos,4,3,1865
Gusano (Worm),22,Vulnerabilidad de red,9,106,5434
Ataque DDoS,15,Vulnerabilidad de red,5,168,11939
Adware,65,Correo electrónico,4,18,249
Phishing,73,Ingeniería social,7,94,3311
Phishing,54,Ingeniería social,6,97,9234
Ransomware,51,Correo electrónico,10,312,47022
Phishing,49,Ingeniería social,5,33,6374
Ransomware,50,Descarga de archivos,9,469,17973
Gusano (Worm),53,Sitio web comprometido,6,58,17606
Troyano,69,Correo electrónico,7,33,505
Ransomware,15,Correo electrónico,7,285,48845
Virus,52,Descarga de archivos,4,12,7926
Phishing,93,Correo electrónico,5,28,3968
Ransomware,32,Sitio web comprometido,10,240,9707
Phishing,59,Correo electrónico,8,50,424
Ransomware,29,Vulnerabilidad de red,9,292,41653
Ataque DDoS,46,Sitio web comprometido,9,89,12505
Botnet,21,Vulnerabilidad de red,8,94,2957
Ataque DDoS,26,Sitio web comprometido,9,144,12172
Phishing,67,Sitio web comprometido,5,42,10851
Troyano,28,Descarga de archivos,8,75,6409
Spyware,60,Descarga de archivos,6,31,4798
Phishing,41,Correo electrónico,6,25,12499
